,comment
0,food wasn't hot enough
1,"Food was cold, the cheese structure was very light"
2,الاوردر زاد ٥٠ ج بدون ابلاغي الا بعد الوصول والساندوتش بارد بدون تسخين
3,كنت كاتبة اني مش محتاجه سبايسي جالي سبايسي والبطاطس مش كلها كيرلي
4,احلا حاجة بكلها و كام الاوردر سخن و زى الفل
5,الوصفه جميله جدا
6,كنت طالب الاكل على طريقتي في حجات معينه مش عايزها عشان بتتعبني و عملو الي في دماغهم و انا مش دافع عشان اكل على مزاجك آخر مره اطلب من عندكم
7,Wrong order despite the clear instructions
8,❤️
9,i didnt want halepino on my fries
10,كان تحفه و كميه كبيره
11,بقى سيئ جدا البطاطس الكيرلي طعمها اتغير العيش غيروه و بقى نوع سيئ الساندوتشات ناقصة مكونات من جوه و بتيجي باردة و طعمها وحش انهيار كامل في الخدمة مع غلاء اسعار غير مبرر
12,I ordered bruger super Stat tower 3 sandwiches and the bag came opened with the sticker not sticking and when I ate half the sandwich myself and my family we got stomach inflamation and sounds. don't order hardees or u will get sick
13,حلو قوى
14,Good
15,I told them not to add cheese cause I’m allergic to it and they added it 😡😡😡
16,الاكل سئ جدا والبرجر محروق وناشف عند الأطراف واللحم ملوش اى طعم يعنى الصوصات بس هى اللى باين طعمها وواضح أن ده برجر مجمد أو معاد تسخينه من الاخر تجربه زى الزفت ومش هتتكرر تانى نهائى
17,Chewy and dry patty
18,"very disappointed with the taste and quality, it used to be way better than that!!"
19,Nice
20,I need someone to call me urgently
21,مافي ولا كاتشب ولا شي يعني بو انا طلبت الساندوتش هادا في المطعم بيعطيني كاتشب … ارجو عدم تكرار هذا الار
22,"The mushroom and swiss burger had no swiss cheese and very little sauce that tastes old,I had a stomach pain after this bad burger. Very dissappointed!"
23,"very small chicken piece, not many fries for Large. not worth 279 LE!!!"
24,الاوردر بارد والبطاطس مجلده وبارده
25,Hot dog was very bad and cood
26,Food wasn’t fresh
27,Almost nothing!!
28,Very very late delivery and I cancelled the order.
29,الاكل كان بارد جدا.
30,شكرا
31,السندويشات غير مدون عليها نوعها/ اسمها
32,ا
33,عاوزة اقدم شكوي في فرع امريكانا بلازا
34,N
35,The chicken in Hardees is the worst thing ever!!! Never ever order chicken sandwiches!! Only order Beef
36,طلبت curly fries جالى french fries
37,I found rat meat in the hot dog. please check
38,The loaded fries was really bad and the burger was small and has no taste
39,The food was very cold
40,"It was horrible, bread is wet, chicken not cooked well, no mayonnaise or anything in the sandwich, just a white slice of tasteless lettuce. Fries I ordered large and received a tiny package (wet as well)."
41,unfortunately taste is not like earlier
42,The food was not fresh which is not expected at all Overall a bad experience
43,Everything was super cold. except for the hot dog
44,ساندوتش الفيليه كان حادق جداا
45,This is the worst order ever
46,Cold
47,It took 2 hours for the order to arrive. The food was so cold. Even the food taste was terrible and very poor quality of sandwiches. I used to order from Hardee’s but probably this will be the last time.
