,comment
0,&nbs...
1,thanks 🙏
2,really amazing . .
3,amazing
4,delicious 😋
5,really amazing
6,nice
7,really nice
8,so far so good
9,...
10,Worst sushi ever
11,الاكل كان حلو اوى وطازة
12,الاوردار وصل علي مرتين
13,Very bad quality and quantity
14,"I’m honestly really disappointed. I ordered Combo 20, and the sushi pieces were TINY — not normal size at all. I got hot crab instead of hot salmon, which is so disappointing because that’s not what I ordered. The Philadelphia roll barely had salmon,..."
15,Horrible experience never ordering from there again
16,الاوردر مجاش واتاخر جدا وحتى المطعم مش بيردو وقمه ف قله الذوق وعايزه الغي الاوردر ومش هستلمو
17,انا فحياتي م شوفت كده حقيقي الفلوس اتسحبت من الڤيزا والاوردر بقاله ٣ ساعات ونص ومجاش وباعتنلي اقول ريڤيو كمان وعماله اتصل محدش بيرد ده ايه النصب ده!!!!!!!
18,Not as expected at all
19,Horrible!!! tastless lettuce?! in sushi?? where's the avocado?? HORRIBLE HORRIBLE HORRIBLE WORST THING I'VE EVER HAD
20,وحش اوي لا طعم ولا شكل و كله جبنة و مش مخدوم و ناشف اوي
21,Do not recommend!!!The worst sushi we have ever tried. There are no seasonings or flavor to the actual sushi. The quantity was not correct upon arrival until I complained….
22,really good
23,طعمو وحش اوي
24,tamam
25,delicious
26,One of the baddest experience won’t repeat it again cause 3 hourss to deliver a fuckingg 26 pieces !!!!!!
27,Order took them 2 hoursss !! To just start delivering it
28,بشكر موظفي المطعم جداعلي ذوقهم وحسن تعاملهم مع العميل
29,Good
30,excellent 👌
31,really great
32,very good
33,👍🏼
34,الاكل كان سيئ اوي
35,هو كويس .. بس ازاي يجيبوا سوشي من غير صويا صوص وواسابي ؟
36,"It was delivered after 2 hours, delivred very cold, the food was not fresh at all, it tasted really bad that I couldn’t finish it and threw it away !!"
37,"Delivery was fast but the food didn’t taste good, the materials used to make the sushi isn’t so good"
38,.
39,اسوأ سوشي الواحد ممكن يأكله وحش جدا جدا جدا
40,الشوربه خفيفه وليس بها الا فتات من السي فود النودلز الفراخ زفره
41,الاكل ممتاز و الطعم كويس جدا و فريش و التوصيل سريع
42,Average taste
43,sushi without wasabi!! although I ensured!
44,Good experience
45,الاكل وصل ريحته ضاربه
46,اتاخر جدا والطعم كان مش احسن حاجة خالص
47,Very bad experience the worst sushi ever i ordered and payed online so they carelessly took care of my order the fried was very cold soggy and had very bad smell the raw was the worst with the worst smell not fresh at all and also missing pieces and ...
48,بجد ابشع مكان اكلت منه سوشي ده كرهني فيه او بمعنى اصح مالوش اي علاقه بالسوشي و بالنسبه للسعر اللي دفعته فا المفروض الجوده تكون احسن من اللي جاتلي بجد عمري ما هجربه تاني من عندهم
49,تأخير الاوردر نصف ساعة عن موعده
50,كل مره بيوصل الاورد من غير صوص ولا وسابي بجد ممكن تكون اخر مره اطلب منهم بسبب كده
51,Very respectful driver
52,Not like the last time
53,"The fried rolls were cold and the soya sauce is the worst one i have tasted so far in my life ; it tastes so bad and fishy ; i first thought the problem was in the rolls but turns it was the soya , it’s seriously the worst ever and i don’t even know ..."
54,"tuna lemon can be better, but everything is very good, and delivery on time."
55,Bad quality of sushi
56,الاكل وصل متأخر ساعة عن الساعة اللي محددنها وبارد وطعمه بشع
57,"I don’t recommend at all, don’t waste ur money"
58,"worst experience ever, the soy sauce smelled like rotten fish and the sushi was mostly rice and all ingredients didn't taste good at all very low quality"
59,قرف، تأخير و الاوردر بايظ!!!!!!!!!!!!!!!!!!!!
