,comment
0,"fried came cold, not fresh, & used old oil to fry"
1,Nice
2,Literally the worst! Order arrived late and the sauces were all over in the bag! Disgusting.
3,Sushi not as expected and taste is too bad and sushi was not fresh . The pieces are too small I used to eat at the restaurant and it was good I will never order again .
4,احسن مكان يعمل سوشي نظافه و طعم فوق المستوى
5,Late
6,Kol haga Tohfa l akl w l quality hata l stuff friendly awii especially mr:hossam Hassan 💗
7,الأوردر صل ناقص ٢٠ قطعة
8,G
9,اوحش سوشي كلته
10,"i always eat from ama, and it was my favorite restaurant, but every time i try to order it outside the branches, it always tastes different, not good , not fresh and has a abad taste, idk the resson maybe because it's an offer so they didn’t pay atte..."
11,I found an elastic in one sushi
12,Greater than expected
13,الاكل طعمه حلو بس الطبق حجمو عادي مقارنتن بي السعر
14,Not as expected and the order was dropped inside the bag
15,"I used to buy this certain item from talabat, when it comes through talabad the chicken portions cubes inside with the noodles is a lot, whenever I order through menu s they put three or four pieces only"
16,كله كان جميل اوي والدليفري كان ذوق جدا🤍
17,طعمها سئ جدا حرفيا كنت باكل ثوم ني بس و على ما جت كانت متلجه و معجنه بشكل مبالغ فيه رغم ان المسافه بيني و بين المطعم بسيطه جدا حوالي ١٠ دقايق بالعربيه
18,الاوردر وصلي بارد بعد ساعتين، تجربة سيئة جدا
19,اسوء سوشي كلته فحياتي سوشي بالتنجان حاجه كدا تقرف الصراحه
20,There wasn’t any soy sauce or wasabi or ginger
21,الاكل كان بارد جدا
22,The food was cold
23,Very generous with the sauces and very tasteful !
24,رز بايت بفتافيت سمكة ……..…… مقرف مقرف مقرف
25,😍
26,they forgot the chopsticks but the sushi is delicious
27,It took 2 hours to receive the order
28,Ana aklt roz !! El aushi 3obara 3n roz
29,Fried sushi should be crunchy and it was soggy.
30,Very tasty & fresh as always
31,الاكل جه بارد والكرسبي رول طري ومجلد رغم المسافه بينا وبين المطعم عشر دقايق
32,Food was cold
33,it was a very good meals I have tried from them more than one try and all was so good كانت وجبة جيدة جدًا، لقد جربتها منهم أكثر من مرة وكان كل شيء جيدًا جدًا
34,الاكل مزيت و زفر و تعبت بعدها و رجعت من التعب
35,"I ordered sushi yesterday and was really disappointed. The taste was very poor, and the amount of rice compared to the fillings was way too much. I used to really enjoy ordering from here, but after this experience, I don’t think I’ll be ordering aga..."
36,الأكل كان طعمه حلو بس الأكل جه بارد جدا و الديليفري اتأخر اويي
37,الطيار إتأخر بالأكل جداً بس الطعم كان روووووعة
38,No enough sauces with the order.
39,"the granish they add to the boxes of grated carrots and orange slices was spoiled and smelled pungently! The sushi itself was very oily, and while not spoiled but the smell from the garnish had already disgusted us this is the second time we rece..."
40,تحفة
41,مشكلته بس الاوردر بيتأخر جامد لكن كل حاجه تاني بيرفيكت
42,"Worst time to order, never again. Food not fresh at all."
43,i got the order 3hrs late!!!! i couldn't even reach the restaurant as i called them a lot with no response
44,It came 40 minutes later than the estimated time which was already long enough!
45,Sauce doesn't always come with the order. Disappointing. This time it did so keep it that way cause it's paid for anyway.
46,Didn’t receive the order
47,ابشع مره اكل فيها سوشي حقيقي كل حاجه كانت وحشه اووووي
48,Not enough ginger nor soya sauce
49,"I opened the bag and just grabbing the food plate it wasn’t sealed or even probably closed I grabbed it carefully Then I found that the food was all over the bag, the pieces in the larger plate was all spilled out its plate. carefully, I grabbed eve..."
50,I got food poisoning
51,amazing
52,سيئ جدا الااصناف مش زي كل مرة مش ملفوف كويس ولا مقلي كويس وشارب زيت والدريسنج اللي معاه اقل من مل مرة
53,Food has no taste
54,الاكل كان جاي معجن في بعض والطعم مش زي كل مرة بطلبه
55,So bad and tasteless and packaging all terrible
56,الاكل كان حلو اوي بس جالي مقلوب مع ان مش اول مرة اطلب و عمر ما حصلت قبل كده
57,It was great but it took very long time
58,الاكل كان بارد ومش زي كل مرة
59,وحش
60,I ordered shrimp tempura and the shrimp was raw!!! I also waited for almost 1.5 hours! the food was cold
61,Was very bad
62,I should have got more teriyaki and soya sauce
63,delivery always late arrived about almost hour late 🫩
64,السلطه جت اوردر غلط كنت طالبه مكس جت كراب وطعمها مش احسن حاجه
65,Delivery was late
66,Perfect
67,كل القطع طعمها شبه بعض..الحشو قايل جدا كمية الرز كبيرة و تقريبا مافيش سمك.. يعنبر رز محشي جبنة
68,وصل بارد
69,The salmon in the most of pieces wasn’t fresh and has bad taste and smell like fesekh
70,كان رائع وسخن جداً 👌🏻
71,قرف
72,أكل رائع
73,حلو بس موش فريش اوى 🙂
74,"Literally the worst time, the order was a zero, looks like ur just throwing the sushi in the box , literally was so bad, i even didn’t receive a chopsticks."
75,It was over fried almost burnt
76,"It wasn’t fresh and it was VERY oily. The crispy roll was obviously old, it was cold and it tasted leathery. Never ordering from them again"
77,Thank you
78,The order came 45 mins late!!!
79,I actually threw up afterwards
80,Not the best sushi but it’s still good
81,كميه كويسه، طعم نص نص
82,كل بشع الطعم والمنظر ولا اعتقد اني ممكن اطلب منهم تاني بعد الي وصلي
83,I got very sick after eating only half and had to throw the other half in the trash
84,اسعار التوصيل غليت جدًا جدًا بشكل غير منطقي
85,order came 2 hours late and all the rolls tasted the same. i received all fried even tho i ordered raw rolls. so bad
86,The quality is very bad The sushi is full or rice and can’t taste the salmon or crabs is very minimal Fried is very bad Overall very bad won’t repeat experience again
87,التوصيل غلي جدا والوقت اللي بيتكتب مفيش التزام بيه تاني مره يكون مكتوب خلال ساعه ويقعد اكتر من ساعتين علي غلو سعر التوصيل ده المفروض يوصل اقل من ساعه مش يقعد اكتر من ساعتين
88,.
89,The worst bgd aw7sh sushi aklto mzyt w rice msh m3mol Ala bokhar W too oily malosh t3m gher zeet gher asln order ghalat msh nfs Ely tlpto Mfrud enko msh kda w m2kda enu mykonsh oily bs msh hgeeb mn 3ndko tany not recommended abdan
90,It was also cold and tasteless
91,Quality is not good and not expected verses the rating
92,مش دى القطع المختاره فى الاوردر طعمه سئ جدا جدا جدا مش عشرين قطعه زى ما طلبت كانت ١٦
93,الصوص قليل اوووى اوووى
94,كان في شوك في السلمون
95,A very little amount of protein( shrimp or crab) and the rolls are mainly rice
96,Very good quality 👍🏻
97,Late and tastes like shit last time to order
98,كان السوشي صغير اوي
99,the salmon wasn't fresh and Philadelphia pieces weren't rolled well
100,The noodles was too bad and burned the veggie
101,The sauces and the sushi were allover each other in the delivery bag and it was wet soy sauce+ plastic + teriyaki sauce out in the bag as well as they are stuffed the sushi allover each other so the cream cheese… you know the rest
102,ممتاز
103,عظمة
104,Food wasn’t hot
105,Very cold and poor ingredients. Not worth the money
106,مكنش فريش والارز مش مطهي كويس
107,Thank you for the quality of food and the experience
108,Got food poisoning
109,سيء جدا غير طازج والقلي سيء ومليان زيت
110,good food
111,No sticks No sauce So bad experience this time
112,Pieces are very small compared to the price
113,"This is the worst time ever, the glass noodles very very dry and only had 4 shrimps although when I tried it in the branch it had 6 shrimps. and was very juicy and tasty Also it had no flavor at all, tasted like unseasoned at all The sushi was reall..."
114,السوشي وحش جدا ملوش طعم و الرز مفرول و القطعة مش بتتسك اصلا الواحد بياكل رز خسارة الفلوس المطعم بقى سئ جدا جدا very low quality
115,سيء جدا
116,"I placed my order through the menus, and it has been over 2 hours, nothing got delivered, I tried reaching the CS for the menus, no luck. I called the branches for over 6 times no answer, when they finally answered it looked like they had forgotten a..."
117,السوشي مش حلو والحشو وحش غير ان القطع صغيره اوي والنودلز جودتها قلت كتير تجربه مش لطيفه
118,حقيقي المندوب اللي وصل الاوردر محترم جدا و ذوق فعلا و احب أشكره كتير و ياريت يتكرم علي ذوقه و تعبة
119,taste not good
120,"It was very good, but there was only one box of soy sauce and it was nearly empty."
121,The food is soggy and cold and taste terrible in general
122,"I understand there was a lot of rush at work as the representative told me there are a lot of orders, the quality was not as I always expect it to be (slightly less than I expected) However, I’m expecting a better comeback when I order again"
123,My only problem was that the ginger was not sent as needed but after I called they fixed the issue.
124,the tempura was without any calimari and only one shrimp and all the plate was bell pepper
125,"The food was amazing it took only 50 mins to come , the chicken noodles had lots of chicken and the sushi was very fresh"
126,fried rolls don't taste good at all
127,so bad quality and the salmon color was black and it was so oily and disgusting
128,V low quality Fried sushi was oily
129,Order was very poor quality and taste. Very disappointing
130,Good
131,i didn't receive the right order
132,Very bad cold disgusting and fishy
133,Rolls werent setup correctly
134,الطعم مقبول
135,الكولا مش موجوده مع الاوردر
136,الاڤوكادو في كل الرولز مش مستوي والاكل بارد وطعمه بايت
137,Great food and presentation but delivery guy مش طايق نفسه
138,كنت كاتب كومنت و محدش قرأه و الاكل منش نفس الجوده
