,comment
0,&nbs...
1,my favourite
2,amazing 😍
3,"It was 2 hours and a half late and no one was reachable, plus there was no spicy mayonnaise"
4,تجربه سيئه
5,Worst delivery experience ever
6,السوشي النص الكبير فيه مفيهوش اي اسماك وجي انواع غير اللي اخترناها تجربة جد جد سيئة
7,amazing thanks
8,الكواليتي بتاعت الاكل جميلة ف قطع بس ف الكراب كان زفر شوية ل اول مرة سوشي بس تجربة لذيذة
9,النودلز كويسه بس الصوصات قليله مع السوشي
10,السوشي معقول بس اتاخر شويه
11,الاوردر وحش اوي و كله رز و مفيهوش اي فيلينج خالص
12,بجد من ابشع المرات اللي اكلت فيها سوشي اول مره اشوف شبت وخضره تتحط علي سوشي والبيسس كلها شبه بعض اختلاف بس رش خضره او حاجه حمرا من بره وبطننا وجعتنا لتاني يوم مش قادربن نتكل حاجة تاني بعده وكل ده مع ان السعر من قليل خالص مدام جايب ماتيريال رخيصه علي ...
13,sushi was perfect
14,تمام . . . .
15,بشع سالمون بداله رينجه و كله خيار و crab و انا مش طالبه حاجه فيها crab كتير و طالبه زياده ginger مجاش و حاجه صعبه
16,amazing
17,so far so good
18,تمام
19,Worst sushi experience
20,food was cold
21,معقول
22,"food waaaaas extreeeme good, might be a little non-salt in the hot lemon, but all i general was good, not gonna be my last time definitely."
23,...
24,So cold
25,اوحش سوشي ممكن يتاكل في الدنيا الكواليتي وطعم سىء والقطعة تتمسك تفرول very bad
26,منغير الصوص المطلوب
27,missing item (pepsi)
28,. . .
29,"A piece of sushi was empty from inside, a piece of sushi wasn’t reserved properly."
30,Only one chopstick was added
31,السوشي عباره عن رز بس ومفيش صوص ال mayo بتاع ال spicy lemon
32,اكل سئ ومدير فرع وخدمة عملاء سيئة لا يقرب للسوشي باي شكل ومفيدش مصداقية مشرف الفرع يكلمني يقولي حاجة ويبلغ خدمة العملاء حاجة
33,سىء للغاية- طعم ردىء والاوردر ناقص وخدمة عملاء سيءة وادارة فاشلة. احد اسوا التجارب ولا انصح به.
34,مزيته و طعمها سيئ جدآ اخر مره
35,Food was really bad rolls are not filled really small rolls all over all really bad quality
36,شكراً
37,the worst sushi I've ever had
38,Tuhfa
39,1 item is missing and the taste is not very good
40,الافوكادو متقطع كبير اوي بيعور
41,حجم القطع صغير جدا و الطعم مش احسن حاجة
42,good
43,"Worst sushi ever, it only has crabs salmon is very small and thin layer, it tastes really bad, ginger has very light color and a very bad taste even wasabi is very weird in texture, all the rolls were not fresh at all and the soy was extremely small,..."
44,ok
45,The order tasted good and it arrived time the problem was in the application itself that kept the order being prepared until it arrived actually without changing the status on the app
46,الاكل كان حلو اوي بس للاسف مكنش فيه sticks ناكل بيها و ساعة و نص وقت طويل اوي اتمني يوصل قبل كده المرة اللي جاية شكرا ليكو
47,الاورد كان ناقص كميه وصوص
48,nice 💯💯
49,"it has nothing to do with sushi , very bad taste , not fresh it is not only rice but it also not fresh and fried with the worst oil ever . i do not recommend this shop at all"
50,very good
51,أول تجربة السوشي ممتاز
