comment,complaint_cluster
الطعام بارد,حرارة_غير_مناسبة
طالب دينر بوكس إللي هو ٣ قطع جالي قطعتين بس مش فاهم إيه السرقه بتاعتكم دي منكم لله,
طالب راوند باعتلي برجر فراخ و مختار عصير بعتلي كولا دا غير الاكل طعمه زيت سئ سواء ف الراوند او البطاطس و النتيجه مغص في البطن,تسمم_غذائي
helw bs El tatbela da3efa,
انا طالبة ساندوتش بخيار مخلل و جبوه بهلبينو. والتاني طالبه مخلل وهلبينو و مجاش فيه مخلل,
الأوفر بتاع الستريبس جاي ناقص الدرينك بس عادي,طلب_غلط
للابد افضل وجبة عندي وافضل مطعم,
وصل بارد جدا,حرارة_غير_مناسبة
دة واضح ان فيه اجماع ان الاوردر بييجي ناقص برضه انهاردة انا الاوردر جه ناقص واتصلت بيهم محدش رد واديت ريفيو على طلبات ان حد يتصل حتى يعتذر ولا الهوا هو ولضح ان المطعم بيعتمد على السرقة,طلب_غلط
العيش ني خالص والفراخ مش مستوية من جوة وغالبا متحمرة مجمدة... مفتقدين الاساسيات... تجربة غير جيدة على الاطلاق,طعم_سيئ
اسوء مطعم و اسوء خدمة وابليكيشن زفت يعني الاوردر واصل بعد ما طلبته بساعتين و نصف واصل مش مستوى كويس و الأكل طعمه سئ و وابليكيشن ال support مش شغال فيه و حاجة اخر زفت صراحة,
الروستر حجمه صغير جدا وحجم الستربس صغير و رفيع تجربة سيئه,كمية_قليلة
كان الصوص سئ جدا و كتير و فراخ قليلة و رز معجن,كمية_قليلة
تحفههههه,
الاكل وحش جدا وبيتاخر والفراخ بايظه وفيها ريش فرع سموحه معندهمش ضمير ويقرف مرتين اطلب نفس المشكله الفراخ فيها دم وفيها ريش وطعم معفن غير فرع الابراهيميه خالص,طعم_سيئ نظافة_سيئة فساد_الطعام
الأوردر ناقص قطعة ستربس وبدون ملاعق ولا مناديل ولا أي حاجة,طلب_غلط
الاوردر جه ناقص,طلب_غلط
اوردر ممتاز,
i’m لكن كان عناك تأخير,تأخير_طلب
البطاطس لم تكن مستوية جيدا,
مطعم محترم ومحافظ علي مستواه,
الاكل كان جميل و حلو بس جاه متاخر و مكنش فيه كاتشب مع الاوردر,
جابلى تسمم والفراخ بايظة محدش ياكل منه تانى معندهومش ضمير,فساد_الطعام
الاكل وصل بارد,حرارة_غير_مناسبة
الاوردر جاي سبايسي مش عادي واترمي لان سبايسي هيتعبنا وفي صوره للصنف,
Dunno,
أوردر مؤرف متأخر ساعة كاملة عن الساعة الأولى يعني جه بعد ساعتين !! و عرقان و مبلول حاجة تقرف فلوس و اترمت الارض,نظافة_سيئة تأخير_طلب
اوردر ناقص قطعتين استربس استلمت ٣ قطع فقط,طلب_غلط
طيار محترم الله يرزقه,
الاكل بارد,حرارة_غير_مناسبة
الرز كان قليل بس كده لكن عمتا تجربه لذيذه احب اجربها تاني,كمية_قليلة
أورد سئ,
الاوردر بارد و البطاطس وحشة جدا و ساقعة,حرارة_غير_مناسبة
