,comment
0,"driver was great the food was so bad the man'osha was cold and was like it was made yesterday and not fresh the cheese was was nonexistent in it the sandwich wasn't as bad it was fresh, but the filling was so little and the sandwich was really small"
1,الاكل بارد شوي بس حلو
2,Average or below
3,حاطط كمية تومية كتير جدا علي الوش، عمري ماشوفت كده ، جالي حموضة منها ،، التومية بتتحط لوحدها برا الفتة ، تجربة مش هتتكرر تاني
4,الاكل كله محروق حرام كده بجد و لا واحد سليم !!! و حتي الحشو مش كامل اول مرة يوصل الاكل بالسوء ده بس بشكل فعلا ما يتسكتش عليه !!!
5,في طعم غريب
6,التوميه قليله في الساندويتش و معهوش حتي علبه التوميه الصغيره
7,worst food i had ever ordered ever 🤮🤮🤢🤢
8,الاوردر وصل متاخر جدا على غير العادة
9,ميستحقش الفلوس اللي ادفعت
10,very late delivery
11,فراخ للاسف كانت محروقه
12,bad experience
13,The sandwich is kind of empty even tho I ordered the biggest size they got but the taste is good
14,حاسه حجم صغير مش لارج
15,The packaging was horrible and it got all squished together causing the man2esh to burst and spill all over the bag and the food. Also el shawerma sandwich was dry and all bread
16,الدليفري ممتاز ملوش ذنب لكن الاكل طعمه سيء و مالح جدا و مليان توابل حقيقي تجربة سيئة و رميت الاكل للأسف ربنا يعوض يارب
17,الاوردر وصل متأخر مستواهم في النازل و اعتقد مش هطلب تاني منهم 😏👎 البطاطس مش مستوية و مقلوبة في الكيس …ساندوتش الشاورما صغير و الحشو قليل و الاوردر ناقص التومية المنقوشة و المحمرة كويسين
18,الفراخ والشيش كانت محروقه والسوتبه محتاج توابل
19,الاكل اتأخر جدا
20,الشاورما بتاعته حلوة جدا، والفتوش قليل ككمية بس مقبول
21,Non
22,طلبت 2شاورما مع زيادة ثومية جاتلي العكس الاتنين بدون ثومية خالص
23,طالبه من غير طحينه جه كله طحينه الاكل بارد اتاخر جدااااااا والسندوتش فاضى
24,جامد اوي الساندويتش اللي كله عيش و بطاطس و ٣ حتت شاورما ده اغلي رغيف عيش كلته في حياتي
25,اتأكدوا ان الاوردر كامل قبل الاستلام و صوروه لأنهم عادي جدا يبعتوا الاوردر ناقص بنفس السعر الاوردر وصل ناقص رفضوا يعترفوا انه ناقص في الفرع و قرروا انهم مش هيعملوا refund ولا هيبعتوا اللي ناقص و اكتفوا انهم يعملوا 20% off لكن مش هنطلبه تاني اصلا
26,طالب فتة و مفيش معلقة وصلت مع الاوردر !!
27,وصل فتة شاورما لحمة فقط شاورما الفراغ نيئة
28,برجاء جلب كاتشب سبايس ف المرات القادمه
29,مش طازة ومش حلو
30,طلبت المحمرة تحفة وجات سخنة 👏🏻👏🏻👏🏻.
31,الأكل طعمه زي القرف
32,"The chicken was awful, almost tasteless, there is no seasoning, not even salt! Also it should be boneless, however while eating I found many small bones broken pieces, I even swallowed one of them!!!!!!! ARAF ARAF ARAF ARAF ARAF!!!!!!"
33,مكنش في اي إضافات من الي طلبتها مجاش غير توميه ودي مش توميه دي محصلتش مني توميه
34,اسوء اكل دقته ف حياتي
35,الرز كميته صغيره غير كافيه لكن الشاورما كميتها وفيره
36,اول مرة الاوردر يوصل كده السندوتشات مش في البوكس و معهاش الصوص الزيادة المطلوب و لا العيش المقلي وصلت السندوتشات كل واحد في كيسه و معاهم باكت بطاطس 🍟 الحمد لله الجودة حلوة لكن السندوتشات الباك بتاعها مهم لأن الحشو وقع و كان مشكلة !!!
37,اتلغي الاوردر و قبله اتصل بيا المنيوز عشان فيه أصناف مش موجودة
38,الاكل كان بارد شوية
39,Amazing 🤍
40,Shhd
41,المنقوشة المحمرة بالجبنة كانت محروقة شوية من الأطراف
42,وحش جدا جدا
43,الطيار مهذب جدا ما شاء الله
44,الاكل فاسد
45,الاكل وصل بعد ساعتين ونص وساقع جدااا ميتاكلش
46,السندوتشات مش مليانه خالص وحاطين بطاطس كتير جوه سندوتش الشاورما سيء سيء
47,الفراخ زفرة جدا ومش نضيفة خالص
48,"The chicken was not boneless and the portion was not 1/2 of a boneless chicken, it was flattened and almost no meat, and a lot of bones. There was hair in one of the Syrian cheese manouches. The tabulahi salad had no bulgar wheat, no flavor, and was ..."
49,you forgot to send an extra garlic dip as I ordered
50,"Good taste, VERY small portions compared to price"
51,غالي
52,الامل كان في غاية السوء و الفراخ مفرفتة و الصوصات طعمها بجد مقرف و جالنا تسمم كلنا بعدها!! فعلا اخر تعامل مع سوري!!
53,نفس نوع الاضافه مرتين
54,الطحينة ليس بالجودة المطلوبة لكن الشاورما ممتازة
55,مفيش معالق و الاوردر مش جى مظبوط
56,بعتولي ٢ سايت مخلل ومحدش تواصل معايا انا عملاه اضافه واحده بس والاوردر جالي من غير معلقه ومتغرق توميه كده الطلب جاي سئ جدا
57,the worst resturant ever
58,الاوردر جه بدون اي شئ معالق و مناديل
59,الفراخ كانت مزفره
60,ممتاز
61,بصراحة اتقفلت اوي من اخر وجبة دي اللحمة مش حلوة ولا حشو السندوتش وازاي خيار مخلل مع شاورما لحمة ! معروف انه بيبقي لفت بجد كان سيء اوي اوي
62,حاجتكم طلعت جميلة اوي يارب تفضلوا حلوين كدا ❤️
63,البطاطس سيئه
64,اسوء تجربة ف حياتي والاكل جاي ساقع ومحروق وبعد ساعتين من طلبة وكمان مخصموش البروموكود ودي اخر مرة اطلب من الابليكيشين
65,ساندوتش البطاطس مش محطوط عليه صوصات أو أي حاجة تديلو طعم زيادة..الشاورما مش وحشه
66,Horrible taste
67,"Shish tawook was horrible, I threw up right away"
68,جالى تحت البيت .. و بعد كده كلمنى بيقولى فين ٦١ .. قولتله هى مش ٦١ هى ١٦ و انا كاتبها ١٦ .. و صفتله المكان و العمارة .. بعدها تاه و لما كلمته بيقولى انت غلطان .. و لما وصل بيحاول يقنعنى ان انا غلطان مع ان الاوردر اصلا متأخر ٤٥ دقيقة عد المعاد المكتوب
69,مش قد كده
70,كميه شاورما الفراخ مش كتير أنا كنت طلبت بالحجم الفاخر فته فراخ وجالي الفراخ بكميه صغيره مش كتير
71,"Hi, excuse me. The delivery person gave me 27Egp instead of Egp20 in change. I just realized there was an overpayment."
72,The delivery took an hour & a half!
73,I ordered one Xl sandwich and one M and they were both same size. my order price was 145 after discount but I received order with voucher 170 .
74,عمو راحل محترم وجميل وجاب الاوردر بسرعه ♥️
75,Did even bother to put a fork or a spoon or even a tissue
76,found a fly in the rice! the chicken is undercooked!
77,كميه الاكل قليلة جدا والسعر غالي عليه الكميه والحجم
78,الابلكيشن مش ظاهر فيه رقم الدليفري ولا تفاصيل تحرك الاوردر
79,مش كريسبي و الصوص كله وقع فالعلبة عالرز والفراخ !!
80,الخضار مش مستوي
81,The portion is smaller than the description. Missing coleslaw! They changed one of the sauces I chose to another that I don’t eat without informing me.
82,اسوء ساندوتش بطاطس ع الاطلاق
83,لم يحضر التوميه
84,اولا الاكل وصل متأخر بسبب الطيار اللي استلم الاوردر وفضل ساعه يلف بيه وبالتالي كان بارد جدا ونصه اترمى ثانيا الاوردر كله كان غير مغلف والزبادي مقلوبة في الكيس ومبهدلة باقي الاطباق ثالثا طعم وجودة سئ جداااااا أسوأ تجربة
85,الكميات قلبله جدا جدا
86,عيش كتير شاورما قليله
87,بصراحه خدمة سيئة والعلبة حايه مفتوحة وللاكل بارد ومتاخر والفراخ الشيش طاووق نية وتجربة سيئة ولن تعاد ده غير حبيت اتواصل مع مينوز او محل السورى لم يستجيبوا تجربة سيئة ولن تتكررررر وسوف انشر تجربتى ع مواقع التواصل لعدم شراء مرة اخرى
88,there was a hair in the order.
89,الشيش طاووق مكتوب أنه معاه خضار سوتيه مجاش .. والسندوتش صغير ونصه فاضي
90,The sandwich was cold and very dry. It didn't have pickles and I ordered the large but got the medium. Soori's quality has become very low. So unexpected.
91,طول اوي ع طلب جاهز ويدوبك اتسخن اكتر من ساعة ونص مع العلم ان المكان مش بعيد
92,انا مستلمتش الاردور
93,الفراخ سيئه جدا جدا جدا
94,الوجبه اختلفت عن زمان زمان كان طعمها افضل كتير
95,So bad ugly!!
96,الاكل وحش اوى مش زى زمان الرز ف الفته وحش الفراخ تعبانه
97,Very bad and burnt taste
