,comment
0,ورق العنب طعمه سئ جدااا ومعجن
1,الاكل جميل لكن الرز حار بزياده
2,كان غير مطهي بالدرجه الكافيه ولذلك كان صعب الطعم
3,ورق العنب اقل سوية عن الطبيعي
4,نص فرخة متاكل منها وصغيرة جداااااااااااااااا
5,الفراخ جت زفرة و مش حلوة الكفتة حلوة
6,الحمام لونه وطعمه محروق
7,فلوس واترمت ع الارض حرفياً أوردر كله سيئ ومستحيل تتكرر تاني
8,حلو بس لو الفراخ تكبر شوية ومينساش العيش والسلطات
9,ممتاز
10,جالي تسمم من الاكل
11,الارز ملئ بالكسبرة الناشفة الصحيحة مش مطحونة والفلفل الاسود صحيح مش ناعم واوراق لورى مفتتة يصعب معها الاكل. ما هذا
12,الملوخيه نيه ومافيهاش ملح والحواوشي بارد
13,الحواوشي بارد جدا وني والملوخيه باردة ومافيهاش ملح نهائيييي ولا توم ولا شوية زيت حتي مش سمنه قرف في قرف اخر مرة اطلب
14,Temperature it's cold it took too long to deliver I think it was 2 hours and 10 mins
15,اخر مرة للأسف الاكل مكانش مستوي
16,سلوك طيب ومحترم طعام طيب ولذيذ التوقيت تمام
17,طعم جميل
18,Very good
19,شوية رز ميكفوش عيل صغير
20,تجربة سيئة جدا للأسف الطبق جه سبايسي جدا ومكنتش متوضح على المنيوز انه عادي او سبايسي وكان فيه ضيوف واطفال وللاسف معرفوش ياكلوا
21,للأسف الأكل قديم وشكله وطعمه قديم وأخشي بيننا توجعنا
22,عدم اكتمال الطلب
23,milk pudding was missing and chicken was not fresh
24,The order was delivered super late after 45 minutes from maghreb time and it was super cold. So bad experience
25,فراخ زفرة عضمها اسود كأنها ميتة و فيها ريحة وحشة
26,I found a dead fly in the salad
27,1 اللحم قاسي وغير مستوي 2 يوجد شعر في الصحن الكثير من الشعر 3 جودة اللحم دون المستوى كانت تجربة سيئة للاسف
28,انا اتبعتلى ان المندوب قرب بعد ما الاكل جه بنص ساعة ، يعنى لما المندوب جه من غير مايكون فيه ما يدل على انه قرب
29,طلبت اوردر من قصر المندي ب٢٦٥ لقيته جايلي زايد ١٠ جنيه باتصل بالدعم الفني لمينيوز الموظفه بترد عليا بمنتهى البرود كان ناقص تقولي اذا كان عاجبك 😁 انا باطلب من سنين من المينيوز اول مره يحصل معايا الموقف ده
30,الاوردر متاخر ساعة و نص عن معاد الاستلام و بارد جداااا
31,العيش مجاش
32,The chicken is not fresh and tasteless!
33,"The order was 45 min late when I asked the support to change the driver, and I was told it will be 10 to 20 min max for the driver to arrive, and surprise it was late to reach 1,30 h so thanks for nothing"
34,جلد علي عضم
35,too spicy
36,الاكل اخر مره جع كان بارد والفراخ كنت رحتها سيه اول مره تحصل ارجو عدم التكرار ده مطعمي المفضل
37,طعمه لذيذ ولكن الكمية قليلة
38,Good food
39,By far the worst Mandi I've ever tasted. the chicken was grilled not Mandy. This is definitely made according to Egyptian standards. the sauce was basically rotten left untouched. What a waste if you could receive a rating below one star I would.....
40,cancelled order
41,الأرز قليل
42,الارز قليل
43,"Delayed delivery for over 45 minutes, driver statment that he has several orders, food quality is the worst and extremely bad."
44,الفراخ مش مستويه ومزفرة
45,حلو والله
46,chicken was overcooked
47,لم يتم توصيل البيبسي حتي تم التواصل مع خدمه العملاء.
48,حاجه في منتهى السوء. الرز كله ناقص زبيب وناقص قرن الفلفل. الرز البرياني ناقص خضار. الفراخ كلها صغيره جدا رغم أنها صدر مش ورك. دي كتاكيت مش فراخ. بعض اطباق الرز جايه سبايسي ازاي مش فاهم ؟! ورق العنب بايت وحمضان ورز مهري وزايد ملح بشكل بشع. مساويءأخرى
49,الفراخ مش مستوية والفرايس قليلة قصاد السعر
50,الفراخ كانت سيئة جدا و مجلدة..اخر مرة اطلب منه ومش هرشحه لحد..
51,اكل غير طازج وملوث حاجه زفت مش هطلبهم عمري تاني
52,Rice portion is very poor
53,الفراخ المندي طعمها مش تمام والحمام مش طازه حرام كل جنيه فيه والله
54,البيبسي لم تصل!!
55,Came cold
56,طلبت سلطة شرائح بدون بصل وطماطم بعتلي طبق بصل وطماطم فقط
57,الفراخ زفره واوردر الرز البرياني اتبعت رز بالفاصوليا والجزر
58,The driver was very nice and decent
59,فرع العباسيه ده مش حلو وده من تجربه كذا مره اقول يمكن في ضغط لكن لا كل مره الموضوع سيء جدا ومش هتتكرر تاني
